Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Date of Launch,Launch Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1HOPSAT-TD,USA,Commercial,Earth Observation,Infrared Imaging,LEO,12/11/2019,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAC AIS-Sat1 (Kelpie 1),United Kingdom,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,1/3/2023,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalto-1,Finland,Civil,Technology Development,,LEO,6/23/2017,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAt-4,Denmark,Civil,Earth Observation,Automatic Identification System (AIS),LEO,4/25/2016,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-2,Multinational,Commercial,Communications,,GEO,2/6/2014,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-2A,Multinational,Commercial,Communications,,GEO,6/15/2016,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-3A,Multinational,Commercial,Communications,,GEO,3/2/2015,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-4,Multinational,Commercial,Communications,,GEO,3/13/2004,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-6,Multinational,Commercial,Communications,,GEO,9/26/1999,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelis-Sampson 1,Israel,Government,Technology Development,,LEO,3/22/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelis-Sampson 2,Israel,Government,Technology Development,,LEO,3/22/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelis-Sampson 3,Israel,Government,Technology Development,,LEO,3/22/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLER-2,Austria,Civil,Earth Science,,LEO,4/15/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 311,USA,Military,Earth Observation,Electronic Intelligence,GEO,12/11/2020,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 139,USA,Military,Earth Observation,Electronic Intelligence,GEO,5/9/1998,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 171,USA,Military,Earth Observation,Electronic Intelligence,GEO,9/9/2003,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 202,USA,Military,Earth Observation,Electronic Intelligence,GEO,1/18/2009,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 223,USA,Military,Earth Observation,Electronic Intelligence,GEO,11/21/2010,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 237,USA,Military,Earth Observation,Electronic Intelligence,GEO,6/29/2012,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 268,USA,Military,Earth Observation,Electronic Intelligence,GEO,6/11/2016,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 246,USA,Military,Communications,,GEO,9/18/2013,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 288,USA,Military,Communications,,GEO,10/17/2018,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 292,USA,Military,Communications,,GEO,8/8/2019,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 298,USA,Military,Communications,,GEO,3/26/2020,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 235,USA,Military,Communications,,GEO,5/3/2012,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeneas,USA,Government,Technology Development,,LEO,9/13/2012,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeolus,ESA,Government,Earth Observation,Earth Science,LEO,8/22/2018,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 11A,USA,Commercial,Technology Development,,LEO,12/17/2018,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 11B,USA,Commercial,Technology Development,,LEO,12/17/2018,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 12A,USA,Commercial,Technology Development,,LEO,7/16/2018,Cygnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 12B,USA,Commercial,Technology Development,,LEO,7/16/2018,Cygnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 14A,USA,Military,Technology Development,,LEO,1/31/2020,Cygnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 14B,USA,Military,Technology Development,,LEO,1/31/2020,Cygnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 15A,USA,Military,Technology Development,,LEO,1/31/2020,Cygnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 5C,USA,Commercial,Technology Development,,LEO,10/8/2015,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 6A,USA,Commercial,Technology Development,,LEO,6/19/2014,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 6B,USA,Commercial,Technology Development,,LEO,6/19/2014,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 7A,USA,Commercial,Technology Development,,LEO,10/8/2015,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8C,USA,Commercial,Technology Development,,LEO,11/11/2016,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8D,USA,Commercial,Technology Development,,LEO,11/11/2016,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
